id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y,timestep
80,HBEFA3/PC_G_EU4,1541.32,0,0,0.36,0,491.63,0,63.23,!80,DEFAULT_VEHTYPE,0,24933995_0,137.5,12.71,161.91,3721.26,3271.08,
82,HBEFA3/PC_G_EU4,9747.35,161.62,0.97,4.25,0.21,3108.92,0,71.92,!82,DEFAULT_VEHTYPE,0,-24926500#6_0,27.74,11.72,221.77,4115.44,3145.76,
83,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,61.59,!83,DEFAULT_VEHTYPE,0,702215009_0,115.92,11.01,125.61,2527.49,2944,
84,HBEFA3/PC_G_EU4,10883.15,162.45,1,4.7,0.23,3471.18,0,72.21,!84,DEFAULT_VEHTYPE,0,24667122#12_1,3.69,15.24,228.96,4043.23,3266.07,
86,HBEFA3/PC_G_EU4,3916.88,36.93,0.26,1.49,0.05,1249.31,0,64.95,!86,DEFAULT_VEHTYPE,0,:7203491606_1_0,8.34,12.33,303.22,3657.09,3248.27,
88,HBEFA3/PC_G_EU4,6087.91,49.33,0.37,2.31,0.11,1941.75,0,69.92,!88,DEFAULT_VEHTYPE,0,24852990#7_0,35.22,20.48,118.6,2869.09,2283.05,
89,HBEFA3/PC_G_EU4,1932.28,0,0,0.51,0,616.32,0,64.3,!89,DEFAULT_VEHTYPE,0,-24926513#6_0,15.48,13.86,41.85,4186.84,3047.28,
9,HBEFA3/PC_G_EU4,1981.54,2.09,0.05,0.59,0.01,632.04,0,62.82,!9,DEFAULT_VEHTYPE,0,-231759890#1_0,86.58,11.68,132.32,4393.09,2287.56,
90,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,58.25,!90,DEFAULT_VEHTYPE,0,-700152576_0,43.95,10.73,93.49,4139.85,3400.49,
92,HBEFA3/PC_G_EU4,6907.31,107.11,0.65,2.93,0.13,2203.1,0,68.21,!92,DEFAULT_VEHTYPE,0,24783980#3_0,30.13,11.23,146.59,4057.34,2257.42,
94,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,55.01,!94,DEFAULT_VEHTYPE,0,-646964288#0_0,11.68,8.52,308.78,2884.93,3355.71,
95,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,59.35,!95,DEFAULT_VEHTYPE,0,-24926458#4_0,50.35,11.35,131.92,4300.04,2768.87,
96,HBEFA3/PC_G_EU4,10351.19,169.79,1.02,4.52,0.22,3301.51,0,72.47,!96,DEFAULT_VEHTYPE,0,703143665#1_0,3.13,12.28,222.62,3105.46,3267.9,
97,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,57.55,!97,DEFAULT_VEHTYPE,0,24926513#14_0,50.03,10.18,226.61,3917,2757.85,
98,HBEFA3/PC_G_EU4,6584.23,103.89,0.63,2.78,0.13,2100.05,0,67.81,!98,DEFAULT_VEHTYPE,0,705492044#3_0,28.51,10.83,339.95,2522.21,2318.95,
99,HBEFA3/PC_G_EU4,14786.75,229.44,1.41,6.36,0.34,4716.22,0,75.08,!99,DEFAULT_VEHTYPE,0,700671904#3_0,14.44,22.85,297.32,2768.05,2353.16,
1,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,53.85,!1,DEFAULT_VEHTYPE,0,:268112786_2_0,5.12,6.02,184.09,2913.48,2261.13,
102,HBEFA3/PC_G_EU4,13142.42,198.31,1.22,5.7,0.29,4191.76,0,73.9,!102,DEFAULT_VEHTYPE,0,:7201338947_1_0,7.31,18.09,221.32,4573.28,3048.7,
103,HBEFA3/PC_G_EU4,5248.21,119.49,0.67,2.26,0.1,1673.95,0,66.69,!103,DEFAULT_VEHTYPE,0,:7208831121_4_0,4.46,6.67,340.87,3733.37,2310.3,
104,HBEFA3/PC_G_EU4,6067.43,125.91,0.72,2.62,0.12,1935.23,0,68.01,!104,DEFAULT_VEHTYPE,0,:7203483746_3_0,5.68,7.56,291.08,3550.57,3294.3,
105,HBEFA3/PC_G_EU4,10256.6,159.98,0.98,4.45,0.22,3271.34,0,71.93,!105,DEFAULT_VEHTYPE,0,-703143666#1_0,54.85,13.41,127.84,2940.64,3347.14,
106,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,56.71,!106,DEFAULT_VEHTYPE,0,:7201338944_0_0,2.85,5.54,224.35,4368.14,3137.74,
107,HBEFA3/PC_G_EU4,6073.05,110.26,0.65,2.59,0.12,1937.02,0,67.36,!107,DEFAULT_VEHTYPE,0,771321486#1_0,31.93,9.03,138.23,3114.96,3325.18,
108,HBEFA3/PC_G_EU4,5233.13,110.24,0.63,2.23,0.1,1669.13,0,66.27,!108,DEFAULT_VEHTYPE,0,30073707#2_0,24.74,7.43,322.87,3403.36,3266.26,
109,HBEFA3/PC_G_EU4,7148.34,147.12,0.84,3.13,0.15,2279.98,0,70.26,!109,DEFAULT_VEHTYPE,0,-645095539#0_0,20.39,7.65,306.99,2829.36,3136.32,
110,HBEFA3/PC_G_EU4,3975.54,138.16,0.72,1.75,0.08,1268.05,0,65.82,!110,DEFAULT_VEHTYPE,0,772191686#0_0,9.84,3.34,237.32,3217.22,2322.29,
