id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
1 30,HBEFA3/PC_G_EU4,8778.77,116.41,0.74,3.69,0.18,2799.99,0,70.25,1 30,DEFAULT_VEHTYPE,0,890218773#2_1,49.54,15.82,227.61,2714.81,2727.52
12 30,HBEFA3/PC_G_EU4,8242.04,152.25,0.89,3.61,0.17,2628.81,0,71.03,12 30,DEFAULT_VEHTYPE,0,828126964#7_0,9.51,9.29,227.59,3218.8,3186.36
13 30,HBEFA3/PC_G_EU4,6306.47,125.46,0.72,2.73,0.13,2011.47,0,68.21,13 30,DEFAULT_VEHTYPE,0,26752039#11_0,13.81,8.04,221.81,4230.06,2666.32
15 30,HBEFA3/PC_G_EU4,11465.28,163.13,1.02,4.9,0.25,3656.84,0,72.58,15 30,DEFAULT_VEHTYPE,0,24801830#1_0,129.04,18.35,37.98,3360.15,2482.94
18 30,HBEFA3/PC_G_EU4,3497.21,25.03,0.19,1.28,0.04,1115.46,0,64.79,18 30,DEFAULT_VEHTYPE,0,694201304#1_0,14.75,12.79,150.43,3728.74,3136.75
19 30,HBEFA3/PC_G_EU4,9594.64,134.48,0.84,4.09,0.2,3060.21,0,70.96,19 30,DEFAULT_VEHTYPE,0,696072697#6_1,17.17,15.54,61.99,2812.47,2149.39
2 30,HBEFA3/PC_G_EU4,9699.29,126.42,0.81,4.06,0.2,3093.59,0,71.32,2 30,DEFAULT_VEHTYPE,0,:7201339444_0_0,9.2,18.5,48.01,4018.18,3214.28
20 30,HBEFA3/PC_G_EU4,11602.98,183,1.12,5.07,0.25,3700.77,0,73.22,20 30,DEFAULT_VEHTYPE,0,-645341343#1_0,3.93,14.18,226.92,3126.48,3395.63
21 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,50.05,21 30,DEFAULT_VEHTYPE,0,41114831#5_0,54.91,5.68,312,4316.57,3180.4
23 30,HBEFA3/PC_G_EU4,2905.04,18.98,0.15,1.02,0.03,926.58,0,63.81,23 30,DEFAULT_VEHTYPE,0,-30037868#0_0,32.66,11.95,13.07,2440.88,2419.96
24 30,HBEFA3/PC_G_EU4,9256.85,123.2,0.79,3.9,0.19,2952.47,0,70.72,24 30,DEFAULT_VEHTYPE,0,4987249#20_0,8.83,16.56,51.99,3202.65,2523.41
26 30,HBEFA3/PC_G_EU4,1390.41,0,0,0.26,0,443.5,0,63.83,26 30,DEFAULT_VEHTYPE,0,703364305#2_0,69.58,13.66,46.32,2683.49,2827.62
28 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,55.48,28 30,DEFAULT_VEHTYPE,0,645363777#2_0,0.87,2.82,113.87,3480.01,3239.37
29 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,57.52,29 30,DEFAULT_VEHTYPE,0,-645341343#0_0,15.86,9.52,217.82,3095.61,3361.24
3 30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,63.78,3 30,DEFAULT_VEHTYPE,0,694201304#0_0,22.99,13.88,137.7,3691.76,3188.51
30,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,59.2,!30,DEFAULT_VEHTYPE,0,24852990#1_0,7.35,7.58,138.48,2521.4,2515.94
32,HBEFA3/PC_G_EU4,10566.47,163.44,1,4.59,0.23,3370.17,0,72.16,!32,DEFAULT_VEHTYPE,0,700671904#4_0,59.46,13.88,297.53,2699.49,2388.83
33,HBEFA3/PC_G_EU4,3063.7,31.29,0.21,1.12,0.04,977.19,0,63.35,!33,DEFAULT_VEHTYPE,0,-700840147#4_0,46.37,10.84,126.08,4321.55,3225.13
34,HBEFA3/PC_G_EU4,5614.48,98.26,0.58,2.37,0.11,1790.76,0,66.52,!34,DEFAULT_VEHTYPE,0,24667122#45_1,9.56,9.28,231.64,3627.45,2868.02
35,HBEFA3/PC_G_EU4,0,0,0,0,0,0,0,52.17,!35,DEFAULT_VEHTYPE,0,:6517615540_0_0,0.46,4.58,220.98,2717.11,2946.73
36,HBEFA3/PC_G_EU4,5602.63,129.22,0.72,2.43,0.11,1786.99,0,67.72,!36,DEFAULT_VEHTYPE,0,701372202_0,18.46,6.47,57.69,3273.81,2338.98
37,HBEFA3/PC_G_EU4,5203.16,144.65,0.78,2.29,0.11,1659.58,0,68.72,!37,DEFAULT_VEHTYPE,0,4987249#46_0,11.92,4.65,53.38,3616.05,2830.91
38,HBEFA3/PC_G_EU4,3102.18,147.45,0.74,1.39,0.07,989.5,0,63.58,!38,DEFAULT_VEHTYPE,0,:6600507940_3_0,0.32,1.6,52.78,3175.25,3378.61
39,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.2,0.07,837.22,0,55.94,!39,DEFAULT_VEHTYPE,0,-703143665#2_0,5.1,0,42.6,3022.26,3172.71
5 30,HBEFA3/PC_G_EU4,3635.69,18.71,0.17,1.31,0.05,1159.62,0,65.64,5 30,DEFAULT_VEHTYPE,0,700632938#2_0,75.13,14.22,47.73,3081.13,2895.18
7 30,HBEFA3/PC_G_EU4,9254.18,120.47,0.77,3.88,0.19,2951.62,0,70.81,7 30,DEFAULT_VEHTYPE,0,24667122#74_1,2.01,17.32,233.45,3160.14,2519.34
